LIMS	Client
RNA20-0001-R0001	1
RNA20-0002-R0001	2
RNA20-0003-R0001	3
RNA20-0004-R0001	4
RNA20-0005-R0001	5
RNA20-0006-R0001	6
RNA20-0007-R0001	7
RNA20-0008-R0001	8
RNA20-0009-R0001	9
RNA20-0010-R0001	10
RNA20-0011-R0001	11
RNA20-0012-R0001	12
RNA20-0013-R0001	13
RNA20-0014-R0001	14
RNA20-0015-R0001	15
RNA20-0016-R0001	16
RNA20-0017-R0001	17
RNA20-0018-R0001	18
RNA20-0019-R0001	19
RNA20-0020-R0001	20
RNA20-0021-R0001	21
RNA20-0022-R0001	22
RNA20-0023-R0001	22BIS
RNA20-0024-R0001	23
RNA20-0025-R0001	24
RNA20-0026-R0001	25
RNA20-0027-R0001	26
RNA20-0028-R0001	28
RNA20-0029-R0001	29
RNA20-0030-R0001	32
RNA20-0031-R0001	33
RNA20-0032-R0001	35
RNA20-0033-R0001	37
RNA20-0034-R0001	40
RNA20-0035-R0001	41
RNA20-0036-R0001	43
RNA20-0037-R0001	128
RNA20-0038-R0001	129
RNA20-0039-R0001	130
RNA20-0040-R0001	262
RNA20-0041-R0001	249
RNA20-0042-R0001	254
RNA20-0043-R0001	268

